translation	vocab	tag
||to finish class||to get out of class||(fig.) (esp. of a sports coach) to be dismissed||to be fired	下课	hsk
||middle-school student||high school student	中学生	hsk
||inside	里边	hsk
||toilet||lavatory||washroom	洗手间	hsk
||the day after tomorrow||acquired (not innate)||a posteriori	后天	hsk
||you're welcome||don't mention it||impolite||rude||blunt	不客气	hsk
||schoolbag||satchel||bookbag||CL:個|个[ge4],隻|只[zhi1]	书包	hsk
||erhua variant of 一塊|一块[yi1 kuai4]	一块儿	hsk
||Sunday||CL:個|个[ge4]	星期日	hsk
||Chinese character||CL:個|个[ge4]||Japanese: kanji||Korean: hanja||Vietnamese: hán tự	汉字	hsk
||textbook||CL:本[ben3]	课本	hsk
||to request leave of absence	请假	hsk
||please come in	请进	hsk
||erhua variant of 小孩[xiao3 hai2]	小孩儿	hsk
||outside||outer surface||abroad||place other than one's home	外边	hsk
||(cooked) rice	米饭	hsk
||steamed stuffed bun||CL:個|个[ge4]	包子	hsk
||erhua variant of 好玩[hao3 wan2]	好玩儿	hsk
||west||west side||western part||to the west of	西边	hsk
"||book||notebook||Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi""||CL:本[ben3]||edition"	本子	hsk
||back||rear||behind	后边	hsk
||the top||above||overhead||upwards||the top margin||above-mentioned||those higher up	上边	hsk
||east||east side||eastern part||to the east of	东边	hsk
||have a seat	请坐	hsk
||text||CL:篇[pian1]	课文	hsk
||north||north side||northern part||to the north of	北边	hsk
||south||south side||southern part||to the south of	南边	hsk
||under||the underside||below	下边	hsk
||front||the front side||in front of	前边	hsk
||(of a pupil) to write down (in a dictation exercise)||dictation||(music) to transcribe by ear	听写	hsk
||erhua variant of 麵條|面条[mian4 tiao2]	面条儿	hsk
||erhua variant of 男孩[nan2 hai2]	男孩儿	hsk
||erhua variant of 一下[yi1 xia4]	一下儿	hsk
every month	每月	from-translation-gsheet
Once	一次	from-translation-gsheet
comforter; quilet	被子	IC-L2-Lesson-2
blanket	毯子	IC-L2-Lesson-2
Just now	刚才	from-translation-gsheet
Two + (counter for books)	两本	from-translation-gsheet
Yesterday night	昨天晚上	from-translation-gsheet
wash clothes	洗衣服	from-translation-gsheet
saw	看见了	from-translation-gsheet
October	十月	from-translation-gsheet
slowly	慢慢	from-translation-gsheet
except	除了	from-translation-gsheet
except	以外	from-translation-gsheet
japanese	日文	from-translation-gsheet
move out	搬出	from-translation-gsheet
accident	意外	from-translation-gsheet
Lynn	小林	from-translation-gsheet
Went	去过	from-translation-gsheet
Colin	小柯	from-translation-gsheet
Unwell	不舒服	from-translation-gsheet
Can't	不能	from-translation-gsheet
Go together	一起去	from-translation-gsheet
Swim	游泳	from-translation-gsheet
Everyone	大家	from-translation-gsheet
That	那个	from-translation-gsheet
But	但是	from-translation-gsheet
After	以后	from-translation-gsheet
How was it	怎么样	from-translation-gsheet
Many	很多	from-translation-gsheet
Americans	美国人	from-translation-gsheet
Think	认为	from-translation-gsheet
Eighteen years old	十八岁	from-translation-gsheet
should	应该	from-translation-gsheet
leave	离开	from-translation-gsheet
move	搬到	from-translation-gsheet
for sure	一定	from-translation-gsheet
one	一个	from-translation-gsheet
question	问题	from-translation-gsheet
convinient	方便	from-translation-gsheet
safe	安全	from-translation-gsheet
dorm	宿舍	from-translation-gsheet
very big	很大	from-translation-gsheet
safest	最安全	from-translation-gsheet
way	办法	from-translation-gsheet
don't allow	不准	from-translation-gsheet
company	公司	from-translation-gsheet
ever?	从来	from-translation-gsheet
live	住在	from-translation-gsheet
cheap	便宜	from-translation-gsheet
save (money)	省	from-translation-gsheet
mw for clothes	件	from-translation-gsheet
shirt	衬衫	from-translation-gsheet
weekend	周末	from-translation-gsheet
50% off	五折	from-translation-gsheet
ok	可以	from-translation-gsheet
30$	三十块	from-translation-gsheet
menu	菜单	IC-L2-Lesson-3
coincidentally	正好	IC-L2-Lesson-3
study-abroad student	留学生	IC-L2-Lesson-3
to steam	清蒸	IC-L2-Lesson-3
taste, flavor (of food)	味道	IC-L2-Lesson-3
chinese broccoli	芥兰	IC-L2-Lesson-3
tender	嫩	IC-L2-Lesson-3
fragrant, pleasant-smelling	香	IC-L2-Lesson-3
spinach	菠菜	IC-L2-Lesson-3
to order (food)	叫(菜）	IC-L2-Lesson-3
fresh	新鲜	IC-L2-Lesson-3
organic	有机	IC-L2-Lesson-3
light in flavor	清淡	IC-L2-Lesson-3
salty	咸	IC-L2-Lesson-3
oil/oily	油	IC-L2-Lesson-3
napkin	餐巾	IC-L2-Lesson-3
chopsticks	筷子	IC-L2-Lesson-3
each, every	各	IC-L2-Lesson-3
(personal) taste	口味	IC-L2-Lesson-3
for example	比方说	IC-L2-Lesson-3
spicy	辣	IC-L2-Lesson-3
to consider	考虑	IC-L2-Lesson-3
idea	注意	IC-L2-Lesson-3
In the newspaper	报纸上	from-translation-gsheet
Not necessarily	不见得	from-translation-gsheet
Explain	说说	from-translation-gsheet
Do like this	这样做	from-translation-gsheet
Benefit	好处	from-translation-gsheet
Wang Peng	王朋	from-translation-gsheet
Dorm	宿舍	from-translation-gsheet
Two	两个	from-translation-gsheet
Semester	学期	from-translation-gsheet
Three days	三天	from-translation-gsheet
This	这个	from-translation-gsheet
Complicated	复杂	from-translation-gsheet
Only use	只用	from-translation-gsheet
—	就好	from-translation-gsheet
Anyways	总而言之	from-translation-gsheet
change	改变	from-translation-gsheet
idea	主意	from-translation-gsheet
take airplane	坐飞机	from-translation-gsheet
Two and something hours	两个多小时	from-translation-gsheet
In the future	以后	from-translation-gsheet
A (mw for car)	一辆	from-translation-gsheet
Cab	出租汽车	from-translation-gsheet
Very fast	很快	from-translation-gsheet
Grad student	研究生	from-translation-gsheet
At here	在这里	from-translation-gsheet
New student	新生	from-translation-gsheet
Move	搬	from-translation-gsheet
Live at	住在	from-translation-gsheet
Again	又	from-translation-gsheet
Convinent	方便	from-translation-gsheet
Safe	安全	from-translation-gsheet
Off Campus	校外	from-translation-gsheet
Because	因为	from-translation-gsheet
Compare	比较	from-translation-gsheet
Cheap	便宜	from-translation-gsheet
Just got here	刚来	from-translation-gsheet
benefit	好处	from-translation-gsheet
can	可以	from-translation-gsheet
get used to	适应	from-translation-gsheet
Life	生活	from-translation-gsheet
in front	前面	from-translation-gsheet
Luggage	行李	from-translation-gsheet
move	搬	from-translation-gsheet
(sigh)	哎	from-translation-gsheet
damn	糟糕	from-translation-gsheet
maybe	可能	from-translation-gsheet
pull	拉	from-translation-gsheet
left	落	from-translation-gsheet
cab	出租车	from-translation-gsheet
(mw for class)	节	from-translation-gsheet
go find	去找	from-translation-gsheet
not necessary	不必	from-translation-gsheet
worry	担心	from-translation-gsheet
safety	安全	from-translation-gsheet
highschool	高中	from-translation-gsheet
many	有很多	from-translation-gsheet
a little	有点	from-translation-gsheet
Lab	实验室	from-translation-gsheet
Next week	下个星期	from-translation-gsheet
Start	开始	from-translation-gsheet
Work	办公	from-translation-gsheet
Change	改	from-translation-gsheet
Tuesday	星期二	from-translation-gsheet
1pm to 3pm	下午1点到3点	from-translation-gsheet
Link 	链接	from-translation-gsheet
cello	大提琴	from-translation-gsheet
Together	在一起	from-translation-gsheet
Scared	怕	from-translation-gsheet
Can't call through 	打不通	from-translation-gsheet
Scared	吓	from-translation-gsheet
Jump	跳	from-translation-gsheet
Thought	以为	from-translation-gsheet
Need	需要	from-translation-gsheet
Fill	充	from-translation-gsheet
Bet	打赌	from-translation-gsheet
Piece	张	from-translation-gsheet
Photo/picture	照片	from-translation-gsheet
Everyone	所有人	from-translation-gsheet
Lip balm 	唇膏	from-translation-gsheet
verb	动词	from-translation-gsheet
Later	之后	from-translation-gsheet
Just	就是	from-translation-gsheet
Screen	屏幕	from-translation-gsheet
Bottom	底部	from-translation-gsheet
Sentenfe	句子	from-translation-gsheet
Move back	退回到	from-translation-gsheet
Page	一页	from-translation-gsheet
First grade	一年级	from-translation-gsheet
Born	出生	from-translation-gsheet
America	美国	from-translation-gsheet
Grow up	长大	from-translation-gsheet
Back	背	from-translation-gsheet
Cafeteria	食堂	manually-added-vocab
random	随机	from-translation-gsheet
if	如果	from-translation-gsheet
nobody	没有人	from-translation-gsheet
raise hand	举手	from-translation-gsheet
then you will	就要	from-translation-gsheet
call on people randomly	点名	from-translation-gsheet
column	列	from-translation-gsheet
row	排	from-translation-gsheet
Then	否则	from-translation-gsheet
speaker	音箱	from-translation-gsheet
speaker	演讲者	from-translation-gsheet
what time	几点	from-translation-gsheet
ann arbor	安娜堡	from-translation-gsheet
a	啊	from-translation-gsheet
Why	为什么	from-translation-gsheet
this	这个	from-translation-gsheet
kid	小孩子	from-translation-gsheet
walks around	走来走去	from-translation-gsheet
hotspot	热点	from-translation-gsheet
useful	管用	from-translation-gsheet
try	试一试	from-translation-gsheet
off campus	校外	from-translation-gsheet
every day up up	天天向上	from-translation-gsheet
college freshman	大一	from-translation-gsheet
luggage	行李	from-translation-gsheet
classroom	教室	from-translation-gsheet
One page (mw for any thin paper like stuffs)	一张	from-translation-gsheet
Bookshelf	书架	from-translation-gsheet
put	摆	from-translation-gsheet
three pages	三张	from-translation-gsheet
photos	照片	from-translation-gsheet
window	窗户	from-translation-gsheet
one (mw for long stuffs)	一条	from-translation-gsheet
Im afraid that	恐怕	from-translation-gsheet
loud	吵	from-translation-gsheet
can bring	能带	from-translation-gsheet
good??	好好	from-translation-gsheet
one time	一遍	from-translation-gsheet
similar	差不多	from-translation-gsheet
not new student	老生	from-translation-gsheet
bring	带	from-translation-gsheet
bring stuffs	买东西	from-translation-gsheet
mediocre/usually	一般	from-translation-gsheet
a little	一点	from-translation-gsheet
comparatively	比较	from-translation-gsheet
quiet	安静	from-translation-gsheet
monday to friday	星期一到星期五	from-translation-gsheet
restaurant	餐厅	from-translation-gsheet
restaurant	饭馆	from-translation-gsheet
little	很少	from-translation-gsheet
this (mw for building)	这栋	from-translation-gsheet
again	又	from-translation-gsheet
old	旧	from-translation-gsheet
wave	波	from-translation-gsheet
furniture	家具	from-translation-gsheet
lean	靠	from-translation-gsheet
desk	书桌	from-translation-gsheet
chinese food	中国菜	from-translation-gsheet
japan	日本	from-translation-gsheet
to resemble, to be	像	IC-L2-Lesson-4
T-shirt	T恤衫	IC-L2-Lesson-4
woolen sweater	毛衣	IC-L2-Lesson-4
jeans	牛仔裤	IC-L2-Lesson-4
regardless of... whether it be...	无论	IC-L2-Lesson-4
toilet paper	卫生纸	IC-L2-Lesson-4
toothpaste	牙膏	IC-L2-Lesson-4
towel	毛巾	IC-L2-Lesson-4
laundry powder	洗衣粉	IC-L2-Lesson-4
to shop	购物	IC-L2-Lesson-4
brand	牌子	IC-L2-Lesson-4
price	价钱	IC-L2-Lesson-4
pure cotton, 100% cotton	纯棉	IC-L2-Lesson-4
famous brand, name brand	名牌	IC-L2-Lesson-4
fashionable; stylish	时髦	IC-L2-Lesson-4
gosh, ah (an exclamation to express surprise)	哎呀	IC-L2-Lesson-4
quality	质量	IC-L2-Lesson-4
to be forced to, to have no  choice but	只好	IC-L2-Lesson-4
reason, sense	道理	IC-L2-Lesson-4
have to, nothing but... would do	非...不可	IC-L2-Lesson-4
criterion, standard	标准	IC-L2-Lesson-4
to mind, care	在乎	IC-L2-Lesson-4
agree	同意	IC-L2-Lesson-4
to choose	选	IC-L2-Lesson-5
world	世界	IC-L2-Lesson-5
history	历史	IC-L2-Lesson-5
other/else	其他	IC-L2-Lesson-5
essay/article	文章	IC-L2-Lesson-5
cannot take it, unable to bear any longer	受不了	IC-L2-Lesson-5
light, relaxed	轻松	IC-L2-Lesson-5
professor	教授	IC-L2-Lesson-5
to discuss	讨论	IC-L2-Lesson-5
opinion	意见	IC-L2-Lesson-5
to run into (a person by chance)	碰见	IC-L2-Lesson-5
to graduate	毕业	IC-L2-Lesson-5
academic	学位	IC-L2-Lesson-5
chemistry	化学	IC-L2-Lesson-5
economics	经济	IC-L2-Lesson-5
academic credit	学分	IC-L2-Lesson-5
to decide	决定	IC-L2-Lesson-5
to solve	解决	IC-L2-Lesson-5
to suggest	建议	IC-L2-Lesson-5
if it's not... it's... either...or... 	要么	IC-L2-Lesson-5
school of engineering	工学院	IC-L2-Lesson-5
school of management	管理学院	IC-L2-Lesson-5
to talk, to discuss	谈	IC-L2-Lesson-5
literature	文学	IC-L2-Lesson-5
future	将来	IC-L2-Lesson-5
to earn money	挣钱	IC-L2-Lesson-5
finance	金融	IC-L2-Lesson-5
all day long	整天	IC-L2-Lesson-5
numeral, figure, digit	数字	IC-L2-Lesson-5
something that weighs on one's mind	心事	IC-L2-Lesson-6
to quarrel	吵架	IC-L2-Lesson-6
extroverted, open and sunny in disposition	开朗	IC-L2-Lesson-6
fan; to be infatuated with	迷	IC-L2-Lesson-6
vocl concert	演唱会	IC-L2-Lesson-6
different, not the same	不同	IC-L2-Lesson-6
to get along	相处	IC-L2-Lesson-6
what on earth, what in the world, in the end	到底	IC-L2-Lesson-6
to happen, to occur, to take place	发生	IC-L2-Lesson-6
background	背景	IC-L2-Lesson-6
to mention, to bring up	提	IC-L2-Lesson-6
heart, mind	心	IC-L2-Lesson-6
at all, simply	根本	IC-L2-Lesson-6
completely, thoroughly	一干二净	IC-L2-Lesson-6
to accompany	pei	IC-L2-Lesson-6
to agree (to do something), to promise, to answer	答应	IC-L2-Lesson-6
to break up, to part company	分手	IC-L2-Lesson-6
as a matter of fact; original, former	原来	IC-L2-Lesson-6
careless, perfunctory, mediocre	马虎	IC-L2-Lesson-6
continuously, incessantly	不停	IC-L2-Lesson-6
to apologize	道歉	IC-L2-Lesson-6
attitude	态度	IC-L2-Lesson-6
perhaps, maybe	说不定	IC-L2-Lesson-6
in fact, reality, actually	实际上	IC-L2-Lesson-6
scatterbrained, forgetful	丢三拉四	IC-L2-Lesson-6
key	钥匙	IC-L2-Lesson-6
network, the internet	网络	IC-L2-Lesson-7
news	新闻	IC-L2-Lesson-7
material (reference, academic)	资料	IC-L2-Lesson-7
game	游戏	IC-L2-Lesson-7
website	网站	IC-L2-Lesson-7
blog	博客	IC-L2-Lesson-7
karaoke	卡拉OK	IC-L2-Lesson-7
hastily, to a hurry	急忙	IC-L2-Lesson-7
download	下载	IC-L2-Lesson-7
software	软件	IC-L2-Lesson-7
as a result; result	结果	IC-L2-Lesson-7
magazine	杂志	IC-L2-Lesson-7
garbage, trash	垃圾	IC-L2-Lesson-7
to lag behind, to be outdated	落伍	IC-L2-Lesson-7
dependable	可靠	IC-L2-Lesson-7
takeout	外卖	IC-L2-Lesson-7
basic necessities of life (lit. food, clothing, shelter, and transportation)	衣食住行	IC-L2-Lesson-7
to arrive late	吃到	IC-L2-Lesson-7
to cause trouble, to harm	害	IC-L2-Lesson-7
to dare	敢	IC-L2-Lesson-7
to stay	待	IC-L2-Lesson-7
room	屋子	IC-L2-Lesson-7
to become addicted	上瘾	IC-L2-Lesson-7
serious, grave	严重	IC-L2-Lesson-7
era, age	时代	IC-L2-Lesson-7
to help; help	帮助	IC-L2-Lesson-7
to translate; interpreter, translation	翻译	IC-L2-Lesson-7
free of charge (lit. exempt from paying the fee)	免费	IC-L2-Lesson-7
feeling, sense perception; to feel, to perceive	感觉	IC-L2-Lesson-7
to receive	受到	IC-L2-Lesson-8
good, fine (literary)	良好	IC-L2-Lesson-8
education, to educate	教育	IC-L2-Lesson-8
to deposit, to accumulate	存	IC-L2-Lesson-8
income	收入	IC-L2-Lesson-8
to provide, to support financially	供	IC-L2-Lesson-8
pressure	压力	IC-L2-Lesson-8
adult	大人	IC-L2-Lesson-8
to lessen	减轻	IC-L2-Lesson-8
burden	负担	IC-L2-Lesson-8
to suit	适合	IC-L2-Lesson-8
to influence; to have an impact; influence	影响	IC-L2-Lesson-8
family, household	家庭	IC-L2-Lesson-8
to obtain, to gain, acquire	取得	IC-L2-Lesson-8
experience; to experience	经验	IC-L2-Lesson-8
pocket money; spending money	零用钱	IC-L2-Lesson-8
scholarship money	奖学金	IC-L2-Lesson-8
to hand over, to turn in	交	IC-L2-Lesson-8
government	政府	IC-L2-Lesson-8
loan; to provide a loan	贷款	IC-L2-Lesson-8
countryside, village, rural area	农村	IC-L2-Lesson-8
wages, pay	工资	IC-L2-Lesson-8
low	低	IC-L2-Lesson-8
tutor	家教	IC-L2-Lesson-8
to walk (an animal), to stroll	遛	IC-L2-Lesson-8
to feed	喂	IC-L2-Lesson-8
cat	猫	IC-L2-Lesson-8
to borrow, to lend	借	IC-L2-Lesson-8
to owe	欠	IC-L2-Lesson-8
bank	银行	IC-L2-Lesson-8
no wonder	难怪	IC-L2-Lesson-8
obediant, well-behaved (of children)	乖	IC-L2-Lesson-8
immigrant; to immigrate	移民	IC-L2-Lesson-9
doctorate (academic title), Dr. (academic title)	博士	IC-L2-Lesson-9
to design; design	设计	IC-L2-Lesson-9
older brother's wife	嫂子	IC-L2-Lesson-9
study abroad	留学	IC-L2-Lesson-9
master's (academic title)	硕士	IC-L2-Lesson-9
to get married; to marry	结婚	IC-L2-Lesson-9
happiness; happy	幸福	IC-L2-Lesson-9
terrible; formidable	厉害	IC-L2-Lesson-9
brother's daughter	侄女	IC-L2-Lesson-9
to arrange	安排	IC-L2-Lesson-9
piano	钢琴	IC-L2-Lesson-9
to draw, to paint	画画儿	IC-L2-Lesson-9
to complain	抱怨	IC-L2-Lesson-9
to respect	尊重	IC-L2-Lesson-9
choice; to choose	选择	IC-L2-Lesson-9
to oppose	反对	IC-L2-Lesson-9
childhood	童年	IC-L2-Lesson-9
point of view	看法	IC-L2-Lesson-9
way of doing things; course of action	做法	IC-L2-Lesson-9
completely, fully; complete, whole	完全	IC-L2-Lesson-9
to understand	理解	IC-L2-Lesson-9
to hope that one's son will become successful (lit. to hope that one's son will become a dragon)	望子成龙	IC-L2-Lesson-9
to hope that one's daughter will become successul (lit. to hope that one's daughter will become a phoenix)	望女成凤	IC-L2-Lesson-9
(measure word for type or kind)	番	IC-L2-Lesson-9
career, undertaking	事业	IC-L2-Lesson-9
society	社会	IC-L2-Lesson-9
it's not... but...	不是..., 而且...	IC-L2-Lesson-9
Mexico	墨西哥	IC-L2-Lesson-9
geography	地理	IC-L2-Lesson-10
hometown, place of family origin	家乡	IC-L2-Lesson-10
route, itinerary	路线	IC-L2-Lesson-10
to understand, to know about, to be informed	了解	IC-L2-Lesson-10
in an instant, all of a sudden	一下子	IC-L2-Lesson-10
ice lantern	冰灯	IC-L2-Lesson-10
boat, ship	船	IC-L2-Lesson-10
scenic landscape, scenery	风景	IC-L2-Lesson-10
river	河流	IC-L2-Lesson-10
mostly, for the most part	大多	IC-L2-Lesson-10
to flow	流	IC-L2-Lesson-10
part, section	部	IC-L2-Lesson-10
plateau (lit. high field)	高原	IC-L2-Lesson-10
plain (lit. flat field)	平原	IC-L2-Lesson-10
sea, ocean	海	IC-L2-Lesson-10
population	人口	IC-L2-Lesson-10
main, principal	主要	IC-L2-Lesson-10
desert	沙漠	IC-L2-Lesson-10
nature, natural	自然	IC-L2-Lesson-10
condition	条件	IC-L2-Lesson-10
terrain, topography	地形	IC-L2-Lesson-10
area (of land)	面积	IC-L2-Lesson-10
(measure word for times by which something is multiplied)	倍	IC-L2-Lesson-10
to celebrate a holiday	过节	IC-L2-Lesson-10
to travel (for pleasure) (pleasure) travel	旅游	IC-L2-Lesson-10
scenic spot. tourist spot	景点	IC-L2-Lesson-10
all around, all over	到处	IC-L2-Lesson-10
huge crowds of people (lit. mountains and seas of people'	人山人海	IC-L2-Lesson-10
crowded; to push against, to squeeze	挤	IC-L2-Lesson-10
short	短	IC-L2-Lesson-10
spring-like all year round	四季如春	IC-L2-Lesson-10
few, minority (lit. small number)	少数	IC-L2-Lesson-10
ethnic group, nationality	民族	IC-L2-Lesson-10
Nanjing	南京	IC-L2-Lesson-10
Harbin	哈尔滨	IC-L2-Lesson-10
Xinjiang	新疆	IC-L2-Lesson-10
Yangtze River	澄江	IC-L2-Lesson-10
Yellow River	黄河	IC-L2-Lesson-10
Tianjin	天津	IC-L2-Lesson-10
Guangzhou	广州	IC-L2-Lesson-10
Shenzhen	深圳	IC-L2-Lesson-10
Yunnan	云南	IC-L2-Lesson-10
holiday, festival	节日	IC-L2-Lesson-11
uncle (mother's brother)	舅舅	IC-L2-Lesson-11
aunt (mother's brother's wife)	舅妈	IC-L2-Lesson-11
residential development, residential complex	小区	IC-L2-Lesson-11
environment, surroundings	环境	IC-L2-Lesson-11
Chinese New Year's Eve	除夕	IC-L2-Lesson-11
Chinese New Year's Eve dinner	年夜饭	IC-L2-Lesson-11
wall	墙	IC-L2-Lesson-11
to paste, to glue	贴	IC-L2-Lesson-11
blessing, good fortune	福	IC-L2-Lesson-11
to turn upside down, to go backwards	倒	IC-L2-Lesson-11
strange, weird	奇怪	IC-L2-Lesson-11
meaning	意思	IC-L2-Lesson-11
with (see grammar 2.)	以	IC-L2-Lesson-11
to replace, to substitute	代	IC-L2-Lesson-11
alcohol, liquor	酒	IC-L2-Lesson-11
to lift, to raise	举	IC-L2-Lesson-11
smooth, successful, without a hitch	顺利	IC-L2-Lesson-11
to make progress, progressive	进步	IC-L2-Lesson-11
to drink a toast (lit. to dry the cup)	干杯	IC-L2-Lesson-11
to succeed, successful	成功	IC-L2-Lesson-11
evening gathering, soiree	晚会	IC-L2-Lesson-11
to leave a surplus, to be left (over)	剩(下)	IC-L2-Lesson-11
to waste, to squander; wasteful	浪费	IC-L2-Lesson-11
surplus, to have a surplus	余	IC-L2-Lesson-11
tradition; traditional	传统	IC-L2-Lesson-11
traditional Chinese lunar calendar (lit. agricultural calendar)	农历	IC-L2-Lesson-11
first, early part of	初	IC-L2-Lesson-11
sticky-rice dumpling wrapped in bamboo or reed leaves	粽子	IC-L2-Lesson-11
moon cake	月饼	IC-L2-Lesson-11
to reunite (as a family)	团圆	IC-L2-Lesson-11
first month of the lunar year	正月	IC-L2-Lesson-11
night of the fifteenth of the first lunar month, sweet dumplings made of sticky-rice flour	元宵	IC-L2-Lesson-11
(particle used to emphasize the obvious, see grammar 3)	嘛	IC-L2-Lesson-11
to count time	计时	IC-L2-Lesson-11
to wish somebody a happy Chinese new year, to pay a Chinese new year call	拜年	IC-L2-Lesson-11
to congratulate	恭喜	IC-L2-Lesson-11
to get rich, to make a fortune	发财	IC-L2-Lesson-11
red envelope containing gift money	红包	IC-L2-Lesson-11
lively, buzzing with excitement, busting with activity (of a place or scene)	热闹	IC-L2-Lesson-11
firecracker	鞭炮	IC-L2-Lesson-11
Spring festival, Chinese New Year	春节	IC-L2-Lesson-11
Dragon boat festival	端午节	IC-L2-Lesson-11
Mid-Autumn Festival, Moon Festival	中秋节	IC-L2-Lesson-11
Thanksgiving	感恩节	IC-L2-Lesson-11
Lantern Festival	元宵节	IC-L2-Lesson-11
to change; change	变化	IC-L2-Lesson-12
end	末	IC-L2-Lesson-12
to not have enough time to do something, to be too late to do something	来不及	IC-L2-Lesson-12
high-speed rail	高(速)铁(路)	IC-L2-Lesson-12
older male cousin with a different surname	表哥	IC-L2-Lesson-12
street	街	IC-L2-Lesson-12
to build, to construct	盖	IC-L2-Lesson-12
to ride	骑	IC-L2-Lesson-12
bicycle	自行车	IC-L2-Lesson-12
to imagine, to visualize; imagination	想象	IC-L2-Lesson-12
if it were not for, but for	要不是	IC-L2-Lesson-12
tourist	游客	IC-L2-Lesson-12
foreigner (slang)	老外	IC-L2-Lesson-12
(sound of laughter)	哈	IC-L2-Lesson-12
opposite side	对面	IC-L2-Lesson-12
fast food	快餐	IC-L2-Lesson-12
clothing, apparel	服装	IC-L2-Lesson-12
to merge into, to meld into	融入	IC-L2-Lesson-12
distinguishing feature or quality, characteristic	特色	IC-L2-Lesson-12
to remain as before, to retain	保留	IC-L2-Lesson-12
architecture; to build	建筑	IC-L2-Lesson-12
to taste	尝	IC-L2-Lesson-12
small and inexpensive dishes, snacks	小吃	IC-L2-Lesson-12
no matter, regardless of	不管	IC-L2-Lesson-12
to change	变	IC-L2-Lesson-12
ordinary people consider food as important as heaven	民以食为天	IC-L2-Lesson-12
(measure word for sentences)	句	IC-L2-Lesson-12
ordinary people	老百姓	IC-L2-Lesson-12
as much as possible	尽可能	IC-L2-Lesson-12
mansion, tall building	厦	IC-L2-Lesson-12
(measure word for buildings, mountains, bridges, cities, and other large, solid things)	座	IC-L2-Lesson-12
sound, voice	声音	IC-L2-Lesson-12
footstep	脚步	IC-L2-Lesson-12
to take a picture, to shoot a film	拍	IC-L2-Lesson-12
(rumbling sound)	咕噜	IC-L2-Lesson-12
France	法国	IC-L2-Lesson-12
Temple of Confucius	夫子庙	IC-L2-Lesson-12
beautiful	美丽	IC-L2-Lesson-13
to leave behind, to stay behind	留(下)	IC-L2-Lesson-13
deep, profound, dark (color)	深	IC-L2-Lesson-13
to share (joy, happiness, benefits, etc.) (lit. to divide and enjoy)	分享	IC-L2-Lesson-13
to sign up, to register	报名	IC-L2-Lesson-13
to participate, to take part, to attend	参加	IC-L2-Lesson-13
group, organization	团	IC-L2-Lesson-13
to include, to consist of	包括	IC-L2-Lesson-13
transportation, traffic (lit. to intersect and go through)	交通	IC-L2-Lesson-13
passenger, voyager, traveler	旅客	IC-L2-Lesson-13
hard, stiff	硬	IC-L2-Lesson-13
sleeping bunk (on a train)	卧铺	IC-L2-Lesson-13
train carriage	车厢	IC-L2-Lesson-13
soft	软	IC-L2-Lesson-13
(measure word for meals)	顿	IC-L2-Lesson-13
box lunch	盒饭	IC-L2-Lesson-13
humorous	幽默	IC-L2-Lesson-13
provincial capital	省会	IC-L2-Lesson-13
beautiful, good	美	IC-L2-Lesson-13
diet, food and drink	饮食	IC-L2-Lesson-13
custom	风俗	IC-L2-Lesson-13
habit, to be accustomed to	习惯	IC-L2-Lesson-13
to go sightseeing, to tour; excursion	游览	IC-L2-Lesson-13
stone, rock, pebble	石头	IC-L2-Lesson-13
woods, forest	树林	IC-L2-Lesson-13
to speak, to tell	讲	IC-L2-Lesson-13
story, tale	故事	IC-L2-Lesson-13
tower, pagoda	塔	IC-L2-Lesson-13
ancient, old	古老	IC-L2-Lesson-13
souvenir, keepsake, memento	纪念品	IC-L2-Lesson-13
by all means, absolutely must	千万	IC-L2-Lesson-13
river	河	IC-L2-Lesson-13
teahouse	茶馆	IC-L2-Lesson-13
lantern	灯笼	IC-L2-Lesson-13
landlord	房东	IC-L2-Lesson-13
Kunming (capital of Yunnan Province)	昆明	IC-L2-Lesson-13
Dali	大理	IC-L2-Lesson-13
Lijiang	丽江	IC-L2-Lesson-13
and; with	与	IC-L2-Lesson-14
husband and wife, couple	夫妻	IC-L2-Lesson-14
to retire	退休	IC-L2-Lesson-14
museum	博物馆	IC-L2-Lesson-14
to take a walk, to go for a walk	散步	IC-L2-Lesson-14
to exercise, to work out, to undergo physical training	锻炼	IC-L2-Lesson-14
public square	广场	IC-L2-Lesson-14
tai chi (a form of traditional Chinese shadowboxing)	太极拳	IC-L2-Lesson-14
morning, early morning	早晨	IC-L2-Lesson-14
to become, to turn into	成为	IC-L2-Lesson-14
to go out, to leave home	出门	IC-L2-Lesson-14
yoga	瑜伽	IC-L2-Lesson-14
to attach importance to	重视	IC-L2-Lesson-14
fitness center, gym	健身房	IC-L2-Lesson-14
to equal, to be equivalent to, to amount to	等于	IC-L2-Lesson-14
to lose weight (lit. to reduce fat)	减肥	IC-L2-Lesson-14
as long as, provided that	只要	IC-L2-Lesson-14
casual, careless; to do as one pleases	随便	IC-L2-Lesson-14
even if	即使	IC-L2-Lesson-14
nutrition, nourishment	营养	IC-L2-Lesson-14
full, satiated (after a meal)	饱	IC-L2-Lesson-14
science, scientific	科学	IC-L2-Lesson-14
aspect, respect	方面	IC-L2-Lesson-14
must, have to, be obliged to	必须	IC-L2-Lesson-14
to smoke a cigarrete	吸烟	IC-L2-Lesson-14
