translation	vocab	tag
||matter||thing||item||work||affair||CL:件[jian4],樁|桩[zhuang1],回[hui2]	事	hsk
||to rise||to raise||to get up||to set out||to start||to appear||to launch||to initiate (action)||to draft||to establish||to get (from a depot or counter)||verb suffix, to start||starting from (a time, place, price etc)||classifier for occurrences or unpredictable events: case, instance||classifier for groups: batch, group	起	hsk
||car||vehicle||CL:輛|辆[liang4]||machine||to shape with a lathe||Kangxi radical 159	车	hsk
||abbr. for 非洲[Fei1 zhou1], Africa|||<b>fēi</b>||to not be||not||wrong||incorrect||non-||un-||in-||to reproach or blame||(colloquial) to insist on||simply must	非	hsk
||always||ever||often||frequently||common||general||constant	常	hsk
||to know||to be aware	知	hsk
||road||path||CL:條|条[tiao2],股[gu3]||principle||truth||morality||reason||skill||method||Dao (of Daoism)||to say||to speak||to talk||classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process||(old) circuit (administrative division)	道	hsk
||hand||(formal) to hold||person engaged in certain types of work||person skilled in certain types of work||personal(ly)||convenient||classifier for skill||CL:雙|双[shuang1],隻|只[zhi1]	手	hsk
||now||the present time||current||contemporary||this (day, year etc)	今	hsk
||five||5	五	hsk
||two||2||(Beijing dialect) stupid	二	hsk
"||(question particle for ""yes-no"" questions)"	吗	hsk
||really||truly||indeed||real||true||genuine	真	hsk
||heel||to follow closely||to go with||(of a woman) to marry sb||with||compared with||to||towards||and (joining two nouns)	跟	hsk
||child	孩	hsk
||(noun suffix)|||<b>zǐ</b>||son||child||seed||egg||small thing||1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat||Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]||ancient Chinese compass point: 0° (north)	子	hsk
||high||tall||above average||loud||your (honorific)	高	hsk
||abbr. for 日本[Ri4 ben3], Japan|||<b>rì</b>||sun||day||date, day of the month	日	hsk
||to feel||to find that||thinking||awake||aware|||<b>jiào</b>||a nap||a sleep||CL:場|场[chang2]	觉	hsk
||structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc|||<b>dé</b>||to obtain||to get||to gain||to catch (a disease)||proper||suitable||proud||contented||to allow||to permit||ready||finished|||<b>děi</b>||to have to||must||ought to||to need to	得	hsk
||(modal particle indicating suggestion or surmise)||...right?||...OK?||...I presume.|||<b>bā</b>||bar (loanword) (serving drinks, or providing Internet access etc)||to puff (on a pipe etc)||(onom.) bang||abbr. for 貼吧|贴吧[tie1 ba1]	吧	hsk
||dialect||language||spoken words||speech||talk||words||conversation||what sb said||CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]	话	hsk
||coin||money||CL:筆|笔[bi3]||unit of weight, one tenth of a tael 兩|两[liang3]	钱	hsk
||to open||to start||to turn on||to boil||to write out (a prescription, check, invoice etc)||to operate (a vehicle)||carat (gold)||abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]||abbr. for 開本|开本[kai1 ben3], book format	开	hsk
||classifier for years (of age)||year||year (of crop harvests)	岁	hsk
||to eat||to consume||to eat at (a cafeteria etc)||to eradicate||to destroy||to absorb||to suffer||to stammer (Taiwan pr. for this sense is [ji2])	吃	hsk
||body||life||oneself||personally||one's morality and conduct||the main part of a structure or body||pregnant||classifier for sets of clothes: suit, twinset||Kangxi radical 158	身	hsk
||heavy||serious||to attach importance to|||<b>chóng</b>||to repeat||repetition||again||re-||classifier: layer	重	hsk
||to love||to be fond of||to like||affection||to be inclined (to do sth)||to tend to (happen)	爱	hsk
||country||nation||state||national||CL:個|个[ge4]	国	hsk
||to buy||to purchase	买	hsk
||ordinal number||day of a month||mark||sign||business establishment||size||ship suffix||horn (wind instrument)||bugle call||assumed name||to take a pulse||classifier used to indicate number of people	号	hsk
||to be fond of||to like||to enjoy||to be happy||to feel pleased||happiness||delight||glad	喜	hsk
||a breed of horse||variant of 歡|欢[huan1]|||<b>huān</b>||hubbub||clamor||variant of 歡|欢[huan1]|||<b>huān</b>||joyous||happy||pleased	欢	hsk
||how	怎	hsk
||to divide||to separate||to distribute||to allocate||to distinguish (good and bad)||part or subdivision||fraction||one tenth (of certain units)||unit of length equivalent to 0.33 cm||minute (unit of time)||minute (angular measurement unit)||a point (in sports or games)||0.01 yuan (unit of money)|||<b>fèn</b>||part||share||ingredient||component	分	hsk
||who||also pr. [shui2]	谁	hsk
||to say||to tell||to announce||to report||to denounce||to file a lawsuit||to sue	告	hsk
||to complain||to sue||to tell	诉	hsk
||manner||pattern||way||appearance||shape||classifier: kind, type	样	hsk
||square||power or involution (math.)||upright||honest||fair and square||direction||side||party (to a contract, dispute etc)||place||method||prescription (medicine)||just when||only or just||classifier for square things||abbr. for square or cubic meter	方	hsk
||ten||10	十	hsk
||to see||to meet||to appear (to be sth)||to interview	见	hsk
||six||6	六	hsk
||to ask||to inquire	问	hsk
||to shout||to call||to order||to ask||to be called||by (indicates agent in the passive mood)	叫	hsk
||to circle||to go back||to turn around||to answer||to return||to revolve||Hui ethnic group (Chinese Muslims)||time||classifier for acts of a play||section or chapter (of a classic book)|||<b>huí</b>||to curve||to return||to revolve	回	hsk
||straight||upright||proper||main||principal||to correct||to rectify||exactly||just (at that time)||right (in that place)||(math.) positive	正	hsk
||rapid||quick||speed||rate||soon||almost||to make haste||clever||sharp (of knives or wits)||forthright||plainspoken||gratified||pleased||pleasant	快	hsk
||to live||to dwell||to stay||to reside||to stop||(suffix indicating firmness, steadiness, or coming to a halt)	住	hsk
